poll_id,pollster_id,pollster,sponsor_ids,sponsors,display_name,pollster_rating_id,pollster_rating_name,numeric_grade,pollscore,methodology,transparency_score,state,start_date,end_date,sponsor_candidate_id,sponsor_candidate,sponsor_candidate_party,endorsed_candidate_id,endorsed_candidate_name,endorsed_candidate_party,question_id,sample_size,population,subpopulation,population_full,tracking,created_at,notes,url,url_article,url_topline,url_crosstab,source,internal,partisan,race_id,cycle,office_type,seat_number,seat_name,election_date,stage,nationwide_batch,ranked_choice_reallocated,ranked_choice_round,hypothetical,party,answer,candidate_id,candidate_name,pct,days_until_election
88817,1741,ActiVote,NA,NA,ActiVote,721,ActiVote,NA,NA,App Panel,8,Florida,2024-10-07,2024-10-20,NA,NA,NA,NA,NA,NA,213472,400,lv,NA,lv,NA,10/21/24 08:48,NA,https://www.activote.net/trump-extends-lead-in-florida/,https://www.activote.net/trump-extends-lead-in-florida/,NA,NA,NA,FALSE,NA,8778,2024,U.S. President,0,NA,2024-11-05,general,FALSE,FALSE,NA,FALSE,DEM,Harris,16661,Kamala Harris,45.4,16
88817,1741,ActiVote,NA,NA,ActiVote,721,ActiVote,NA,NA,App Panel,8,Florida,2024-10-07,2024-10-20,NA,NA,NA,NA,NA,NA,213472,400,lv,NA,lv,NA,10/21/24 08:48,NA,https://www.activote.net/trump-extends-lead-in-florida/,https://www.activote.net/trump-extends-lead-in-florida/,NA,NA,NA,FALSE,NA,8778,2024,U.S. President,0,NA,2024-11-05,general,FALSE,FALSE,NA,FALSE,REP,Trump,16651,Donald Trump,54.6,16
88803,1741,ActiVote,NA,NA,ActiVote,721,ActiVote,NA,NA,App Panel,8,Colorado,2024-09-15,2024-10-19,NA,NA,NA,NA,NA,NA,213396,400,lv,NA,lv,NA,10/20/24 13:11,NA,https://www.activote.net/harris-leads-in-colorado/,https://www.activote.net/harris-leads-in-colorado/,NA,NA,NA,FALSE,NA,8765,2024,U.S. President,0,NA,2024-11-05,general,FALSE,FALSE,NA,FALSE,DEM,Harris,16661,Kamala Harris,58.7,17
88803,1741,ActiVote,NA,NA,ActiVote,721,ActiVote,NA,NA,App Panel,8,Colorado,2024-09-15,2024-10-19,NA,NA,NA,NA,NA,NA,213396,400,lv,NA,lv,NA,10/20/24 13:11,NA,https://www.activote.net/harris-leads-in-colorado/,https://www.activote.net/harris-leads-in-colorado/,NA,NA,NA,FALSE,NA,8765,2024,U.S. President,0,NA,2024-11-05,general,FALSE,FALSE,NA,FALSE,REP,Trump,16651,Donald Trump,41.3,17
88804,1741,ActiVote,NA,NA,ActiVote,721,ActiVote,NA,NA,App Panel,8,Oklahoma,2024-09-13,2024-10-19,NA,NA,NA,NA,NA,NA,213397,400,lv,NA,lv,NA,10/20/24 13:11,NA,https://www.activote.net/trump-has-large-lead-in-oklahoma/,https://www.activote.net/trump-has-large-lead-in-oklahoma/,NA,NA,NA,FALSE,NA,8866,2024,U.S. President,0,NA,2024-11-05,general,FALSE,FALSE,NA,FALSE,DEM,Harris,16661,Kamala Harris,33.9,17
88804,1741,ActiVote,NA,NA,ActiVote,721,ActiVote,NA,NA,App Panel,8,Oklahoma,2024-09-13,2024-10-19,NA,NA,NA,NA,NA,NA,213397,400,lv,NA,lv,NA,10/20/24 13:11,NA,https://www.activote.net/trump-has-large-lead-in-oklahoma/,https://www.activote.net/trump-has-large-lead-in-oklahoma/,NA,NA,NA,FALSE,NA,8866,2024,U.S. President,0,NA,2024-11-05,general,FALSE,FALSE,NA,FALSE,REP,Trump,16651,Donald Trump,66.1,17
88769,1554,RMG Research,2178,Napolitan News Service,RMG Research,555,RMG Research,2.3,-0.4,Online Panel,5,Florida,2024-10-14,2024-10-17,NA,NA,NA,NA,NA,NA,213251,788,lv,NA,lv,NA,10/18/24 09:39,NA,https://napolitaninstitute.org/2024/10/18/florida-trump-52-harris-47/,https://napolitaninstitute.org/2024/10/18/florida-trump-52-harris-47/,https://napolitaninstitute.org/wp-content/uploads/2024/10/GCM24-FL10-Mini-Toplines-Pres.pdf,https://napolitaninstitute.org/wp-content/uploads/2024/10/GCM24-FL10-Mini-Crosstabs-Pres.pdf,NA,NA,NA,8778,2024,U.S. President,0,NA,2024-11-05,general,FALSE,FALSE,NA,FALSE,DEM,Harris,16661,Kamala Harris,47,19
88769,1554,RMG Research,2178,Napolitan News Service,RMG Research,555,RMG Research,2.3,-0.4,Online Panel,5,Florida,2024-10-14,2024-10-17,NA,NA,NA,NA,NA,NA,213251,788,lv,NA,lv,NA,10/18/24 09:39,NA,https://napolitaninstitute.org/2024/10/18/florida-trump-52-harris-47/,https://napolitaninstitute.org/2024/10/18/florida-trump-52-harris-47/,https://napolitaninstitute.org/wp-content/uploads/2024/10/GCM24-FL10-Mini-Toplines-Pres.pdf,https://napolitaninstitute.org/wp-content/uploads/2024/10/GCM24-FL10-Mini-Crosstabs-Pres.pdf,NA,NA,NA,8778,2024,U.S. President,0,NA,2024-11-05,general,FALSE,FALSE,NA,FALSE,REP,Trump,16651,Donald Trump,52,19
88772,1741,ActiVote,NA,NA,ActiVote,721,ActiVote,NA,NA,App Panel,8,National,2024-10-09,2024-10-17,NA,NA,NA,NA,NA,NA,213254,1000,lv,NA,lv,NA,10/18/24 09:39,NA,https://www.activote.net/trump-extends-lead/,https://www.activote.net/trump-extends-lead/,NA,NA,NA,FALSE,NA,8914,2024,U.S. President,0,NA,2024-11-05,general,FALSE,FALSE,NA,FALSE,DEM,Harris,16661,Kamala Harris,48.9,19
88772,1741,ActiVote,NA,NA,ActiVote,721,ActiVote,NA,NA,App Panel,8,National,2024-10-09,2024-10-17,NA,NA,NA,NA,NA,NA,213254,1000,lv,NA,lv,NA,10/18/24 09:39,NA,https://www.activote.net/trump-extends-lead/,https://www.activote.net/trump-extends-lead/,NA,NA,NA,FALSE,NA,8914,2024,U.S. President,0,NA,2024-11-05,general,FALSE,FALSE,NA,FALSE,REP,Trump,16651,Donald Trump,51.1,19
