"poll_id","pollster_id","pollster","start_date","end_date","sample_size","methodology","population","state","candidate_name","candidate_id","pct"
1,3,"Pollster 3",2024-10-14,2024-10-17,1437,"Online Panel","rv","Tennessee","Donald Trump",16651,14.1809739900489
1,3,"Pollster 3",2024-10-14,2024-10-17,1437,"Online Panel","rv","Tennessee","Kamala Harris",16661,29.7161430285443
1,3,"Pollster 3",2024-10-14,2024-10-17,1437,"Online Panel","rv","Tennessee","Jill Stein",31116,14.0790898337365
1,3,"Pollster 3",2024-10-14,2024-10-17,1437,"Online Panel","rv","Tennessee","Cornel West",31097,21.04314822734
1,3,"Pollster 3",2024-10-14,2024-10-17,1437,"Online Panel","rv","Tennessee","Chase Oliver",31790,17.784137810578
1,3,"Pollster 3",2024-10-14,2024-10-17,1437,"Online Panel","rv","Tennessee","Robert F. Kennedy",31042,3.19650710975233
2,5,"Pollster 5",2024-10-19,2024-10-22,1452,"IVR/Live Phone","lv","Delaware","Donald Trump",16651,22.3126501662397
2,5,"Pollster 5",2024-10-19,2024-10-22,1452,"IVR/Live Phone","lv","Delaware","Kamala Harris",16661,24.110191628115
2,5,"Pollster 5",2024-10-19,2024-10-22,1452,"IVR/Live Phone","lv","Delaware","Jill Stein",31116,18.513721997107
2,5,"Pollster 5",2024-10-19,2024-10-22,1452,"IVR/Live Phone","lv","Delaware","Cornel West",31097,20.217730374166
2,5,"Pollster 5",2024-10-19,2024-10-22,1452,"IVR/Live Phone","lv","Delaware","Chase Oliver",31790,9.83965685390439
2,5,"Pollster 5",2024-10-19,2024-10-22,1452,"IVR/Live Phone","lv","Delaware","Robert F. Kennedy",31042,5.00604898046779
3,9,"Pollster 9",2024-10-30,2024-11-02,1431,"Live Phone","a","Pennsylvania","Donald Trump",16651,16.8374422965507
3,9,"Pollster 9",2024-10-30,2024-11-02,1431,"Live Phone","a","Pennsylvania","Kamala Harris",16661,12.2571294379217
3,9,"Pollster 9",2024-10-30,2024-11-02,1431,"Live Phone","a","Pennsylvania","Jill Stein",31116,7.55666453720983
3,9,"Pollster 9",2024-10-30,2024-11-02,1431,"Live Phone","a","Pennsylvania","Cornel West",31097,21.9368844809676
3,9,"Pollster 9",2024-10-30,2024-11-02,1431,"Live Phone","a","Pennsylvania","Chase Oliver",31790,21.8933855369485
3,9,"Pollster 9",2024-10-30,2024-11-02,1431,"Live Phone","a","Pennsylvania","Robert F. Kennedy",31042,19.5184937104016
4,7,"Pollster 7",2024-10-09,2024-10-10,1546,"IVR/Online","lv","Colorado","Donald Trump",16651,4.57362882329498
4,7,"Pollster 7",2024-10-09,2024-10-10,1546,"IVR/Online","lv","Colorado","Kamala Harris",16661,21.0466238056701
4,7,"Pollster 7",2024-10-09,2024-10-10,1546,"IVR/Online","lv","Colorado","Jill Stein",31116,7.74900451944663
4,7,"Pollster 7",2024-10-09,2024-10-10,1546,"IVR/Online","lv","Colorado","Cornel West",31097,4.78495465480281
4,7,"Pollster 7",2024-10-09,2024-10-10,1546,"IVR/Online","lv","Colorado","Chase Oliver",31790,28.2639169564396
4,7,"Pollster 7",2024-10-09,2024-10-10,1546,"IVR/Online","lv","Colorado","Robert F. Kennedy",31042,33.5818712403459
5,5,"Pollster 5",2024-10-08,2024-10-12,640,"Online Panel","lv","Montana","Donald Trump",16651,14.6140393494407
5,5,"Pollster 5",2024-10-08,2024-10-12,640,"Online Panel","lv","Montana","Kamala Harris",16661,25.0685204529376
5,5,"Pollster 5",2024-10-08,2024-10-12,640,"Online Panel","lv","Montana","Jill Stein",31116,20.9067755582142
5,5,"Pollster 5",2024-10-08,2024-10-12,640,"Online Panel","lv","Montana","Cornel West",31097,23.5968299946535
5,5,"Pollster 5",2024-10-08,2024-10-12,640,"Online Panel","lv","Montana","Chase Oliver",31790,0.0207589908121713
5,5,"Pollster 5",2024-10-08,2024-10-12,640,"Online Panel","lv","Montana","Robert F. Kennedy",31042,15.7930756539419
6,10,"Pollster 10",2024-10-28,2024-11-01,1273,"IVR/Online","rv","Massachusetts","Donald Trump",16651,26.4536761970401
6,10,"Pollster 10",2024-10-28,2024-11-01,1273,"IVR/Online","rv","Massachusetts","Kamala Harris",16661,23.9852963000378
6,10,"Pollster 10",2024-10-28,2024-11-01,1273,"IVR/Online","rv","Massachusetts","Jill Stein",31116,23.8085174980426
6,10,"Pollster 10",2024-10-28,2024-11-01,1273,"IVR/Online","rv","Massachusetts","Cornel West",31097,4.70151105261963
6,10,"Pollster 10",2024-10-28,2024-11-01,1273,"IVR/Online","rv","Massachusetts","Chase Oliver",31790,3.51018529262548
6,10,"Pollster 10",2024-10-28,2024-11-01,1273,"IVR/Online","rv","Massachusetts","Robert F. Kennedy",31042,17.5408136596343
7,1,"Pollster 1",2024-10-02,2024-10-06,512,"Online","rv","Wyoming","Donald Trump",16651,16.0033245506844
